epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,1.3203905820846558,0.4,0.22857142857142854,0.16,0.4,1.3654,1.2e-05
2.0,50.0,1.287622094154358,0.34,0.22391042204995695,0.40831460674157305,0.34,1.2764,2.45e-05
3.0,75.0,1.1697925329208374,0.53,0.49391609114399815,0.4890569956796278,0.53,1.2381,3.7e-05
4.0,100.0,1.1196435689926147,0.51,0.4114574016741199,0.5952,0.51,0.9839,4.9e-05
5.0,125.0,0.9655323624610901,0.66,0.6553771832032702,0.6678000000000001,0.66,0.656,4.9520833333333335e-05
6.0,150.0,1.3584301471710205,0.61,0.6018774903761734,0.6297979094076656,0.61,0.311,4.9e-05
7.0,175.0,1.5430798530578613,0.64,0.6338524454269135,0.6616988416988417,0.64,0.1988,4.85e-05
8.0,200.0,1.6673474311828613,0.62,0.6183747069677062,0.6321407121407122,0.62,0.1605,4.797916666666667e-05
9.0,225.0,2.2846059799194336,0.58,0.5421776615325002,0.5586767676767677,0.58,0.0935,4.747916666666667e-05
10.0,250.0,2.3537230491638184,0.6,0.5850427777222944,0.6212037735849056,0.6,0.0434,4.695833333333334e-05
11.0,275.0,2.4467523097991943,0.61,0.5908615437108528,0.6532631578947368,0.61,0.0337,4.64375e-05
12.0,300.0,2.3484456539154053,0.62,0.6110221720494594,0.6128873114463177,0.62,0.0498,4.591666666666667e-05
13.0,325.0,2.5604236125946045,0.6,0.5856662877352533,0.5960691489361702,0.6,0.0162,4.539583333333334e-05
14.0,350.0,2.6116247177124023,0.6,0.5903497375080258,0.6018666314305849,0.6,0.0082,4.489583333333334e-05
15.0,375.0,2.6456973552703857,0.62,0.618088808959088,0.6310220042417815,0.62,0.0009,4.4375e-05
16.0,400.0,2.6373696327209473,0.62,0.6178739586032296,0.6177227513227513,0.62,0.0005,4.385416666666667e-05
17.0,425.0,2.636199951171875,0.65,0.6340481331533963,0.6592534562211982,0.65,0.0007,4.3333333333333334e-05
18.0,450.0,2.938711643218994,0.63,0.6152983114446529,0.6434285714285715,0.63,0.0005,4.28125e-05
19.0,475.0,3.4304821491241455,0.56,0.5456927872142415,0.5781846932321316,0.56,0.0191,4.229166666666667e-05
20.0,500.0,3.0977630615234375,0.62,0.6069230769230769,0.6465340083645168,0.62,0.0622,4.177083333333334e-05
21.0,525.0,3.364210844039917,0.59,0.5838177627843281,0.5935876263548897,0.59,0.0184,4.125e-05
22.0,550.0,3.387773036956787,0.59,0.5768167576130964,0.5864444444444444,0.59,0.0248,4.072916666666667e-05
23.0,575.0,3.189711332321167,0.57,0.5572619047619048,0.5775649350649351,0.57,0.0183,4.020833333333334e-05
24.0,600.0,3.073439598083496,0.59,0.5828729551580856,0.5875459824728118,0.59,0.0319,3.96875e-05
25.0,625.0,3.1362104415893555,0.6,0.587053391053391,0.6006278195488721,0.6,0.0821,3.9166666666666665e-05
26.0,650.0,2.7942566871643066,0.59,0.5878083032635946,0.5994444444444444,0.59,0.0698,3.8645833333333335e-05
27.0,675.0,2.466904401779175,0.68,0.6766971975393028,0.6785440613026821,0.68,0.0605,3.8125e-05
28.0,700.0,3.1797192096710205,0.61,0.6002650592790707,0.6282962962962962,0.61,0.0005,3.760416666666667e-05
29.0,725.0,3.387645959854126,0.58,0.5802032085561497,0.5934482758620689,0.58,0.0006,3.708333333333334e-05
30.0,750.0,3.1806578636169434,0.59,0.5829089301503094,0.5864802631578947,0.59,0.0002,3.65625e-05
31.0,775.0,3.359020471572876,0.6,0.6001183869774325,0.600474074074074,0.6,0.0056,3.604166666666667e-05
32.0,800.0,3.161442756652832,0.63,0.6234354090354091,0.6343653250773994,0.63,0.0004,3.5520833333333334e-05
33.0,825.0,3.382922887802124,0.56,0.5602739251537464,0.5616483516483516,0.56,0.0002,3.5e-05
34.0,850.0,3.457293748855591,0.59,0.5814176245210728,0.5821612541993281,0.59,0.0035,3.447916666666667e-05
35.0,875.0,3.4902503490448,0.59,0.5874019607843137,0.5925660863958736,0.59,0.0002,3.3958333333333337e-05
36.0,900.0,3.553030490875244,0.6,0.5987745098039216,0.6017616161616162,0.6,0.0002,3.34375e-05
37.0,925.0,3.572054386138916,0.59,0.5894647058823529,0.5936616161616162,0.59,0.0001,3.291666666666667e-05
38.0,950.0,3.580889940261841,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,3.239583333333334e-05
39.0,975.0,3.5904381275177,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,3.1875e-05
40.0,1000.0,3.599094867706299,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,3.1354166666666665e-05
41.0,1025.0,3.60516357421875,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,3.0833333333333335e-05
42.0,1050.0,3.6130211353302,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,3.0312499999999998e-05
43.0,1075.0,3.6216015815734863,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,2.9791666666666668e-05
44.0,1100.0,3.628225803375244,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,2.9270833333333338e-05
45.0,1125.0,3.626589298248291,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,2.8749999999999997e-05
46.0,1150.0,3.6264848709106445,0.59,0.5871864094474999,0.5902239789196311,0.59,0.0001,2.8229166666666667e-05
47.0,1175.0,3.6301374435424805,0.6,0.5984619196515815,0.6030698287220027,0.6,0.0001,2.7708333333333337e-05
48.0,1200.0,3.636697292327881,0.59,0.5871864094474999,0.5902239789196311,0.59,0.0001,2.71875e-05
49.0,1225.0,3.6444389820098877,0.59,0.5871864094474999,0.5902239789196311,0.59,0.0001,2.6666666666666667e-05
