epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,1.2725390195846558,0.4,0.22857142857142854,0.16,0.4,1.319,2.4e-05
2.0,50.0,1.2833740711212158,0.4,0.22857142857142854,0.16,0.4,1.28,4.9e-05
3.0,75.0,1.2780663967132568,0.4,0.22857142857142854,0.16,0.4,1.2883,7.4e-05
4.0,100.0,1.2714941501617432,0.4,0.22857142857142854,0.16,0.4,1.2703,9.900000000000001e-05
5.0,125.0,1.1505248546600342,0.43,0.29754010695187166,0.2995652173913043,0.43,1.2457,9.900000000000001e-05
6.0,150.0,0.9610571265220642,0.63,0.6039095247976758,0.5854945054945054,0.63,1.0671,9.8e-05
7.0,175.0,0.8196583390235901,0.66,0.6353472721132295,0.6971966794380589,0.66,0.8537,9.695833333333334e-05
8.0,200.0,0.7974395751953125,0.68,0.663967660499153,0.7124285714285715,0.68,0.6362,9.591666666666666e-05
9.0,225.0,0.77643221616745,0.71,0.7033847913093196,0.7270538720538721,0.71,0.4629,9.4875e-05
10.0,250.0,0.8177165389060974,0.75,0.7509637837365378,0.7608715728715728,0.75,0.3176,9.3875e-05
11.0,275.0,0.80596524477005,0.75,0.7513301587301587,0.7585606060606059,0.75,0.2527,9.283333333333334e-05
12.0,300.0,0.9751505255699158,0.75,0.7484822695035461,0.7698045112781955,0.75,0.1605,9.179166666666667e-05
13.0,325.0,0.9707276225090027,0.74,0.7397592251358376,0.7411077519379845,0.74,0.1047,9.075e-05
14.0,350.0,1.1333529949188232,0.68,0.6766683893195521,0.6855426610003269,0.68,0.0952,8.970833333333334e-05
15.0,375.0,1.0593769550323486,0.75,0.7471840950613554,0.7536437689969604,0.75,0.0531,8.866666666666668e-05
16.0,400.0,1.1021559238433838,0.74,0.7381124031007751,0.7427119141727836,0.74,0.0308,8.7625e-05
17.0,425.0,1.3502084016799927,0.7,0.7011272095292387,0.7178143561864492,0.7,0.0162,8.658333333333334e-05
18.0,450.0,1.2148133516311646,0.78,0.7812872185911401,0.7864115017773554,0.78,0.0272,8.554166666666668e-05
19.0,475.0,1.4306765794754028,0.72,0.7153076281896158,0.7350899824812869,0.72,0.0127,8.450000000000001e-05
20.0,500.0,1.491005539894104,0.72,0.7154358734611189,0.7386454816285998,0.72,0.0055,8.345833333333333e-05
21.0,525.0,1.3399986028671265,0.75,0.7498603051794541,0.765,0.75,0.017,8.241666666666667e-05
22.0,550.0,1.5376074314117432,0.74,0.736872126841167,0.762469696969697,0.74,0.0049,8.1375e-05
23.0,575.0,1.4491435289382935,0.75,0.7502437641723357,0.7579139218269653,0.75,0.0039,8.033333333333334e-05
24.0,600.0,1.5104005336761475,0.75,0.7545981747297538,0.7724819624819625,0.75,0.0057,7.929166666666668e-05
25.0,625.0,1.5580008029937744,0.74,0.7401189109893427,0.7675277067348679,0.74,0.0088,7.825e-05
26.0,650.0,1.6182453632354736,0.72,0.7162743451584571,0.7389656152315999,0.72,0.0098,7.720833333333334e-05
27.0,675.0,1.491796851158142,0.77,0.7696794932206191,0.7799565364227713,0.77,0.0039,7.616666666666667e-05
28.0,700.0,1.7206417322158813,0.74,0.7404051948051947,0.7729166666666667,0.74,0.0026,7.5125e-05
29.0,725.0,1.7988038063049316,0.73,0.7259838383838384,0.7425,0.73,0.0014,7.408333333333334e-05
30.0,750.0,1.639582872390747,0.74,0.7405407553092159,0.7480761904761906,0.74,0.0027,7.304166666666668e-05
31.0,775.0,1.7890249490737915,0.73,0.7244242984890533,0.7404945054945056,0.73,0.0016,7.2e-05
32.0,800.0,1.5781478881835938,0.78,0.7771344827586206,0.7824760523164778,0.78,0.0006,7.095833333333334e-05
33.0,825.0,1.692299485206604,0.73,0.726086956521739,0.7459230769230768,0.73,0.0007,6.991666666666668e-05
34.0,850.0,1.8117892742156982,0.73,0.7256565234789568,0.7547612411742847,0.73,0.0004,6.887500000000001e-05
35.0,875.0,1.6717830896377563,0.77,0.7681060606060606,0.7772727272727272,0.77,0.0006,6.783333333333333e-05
36.0,900.0,2.0831220149993896,0.73,0.7256565234789568,0.7547612411742847,0.73,0.0034,6.679166666666667e-05
37.0,925.0,1.5352939367294312,0.76,0.7600821956689653,0.7679270970575318,0.76,0.0007,6.575e-05
38.0,950.0,1.6784636974334717,0.74,0.7400084964286522,0.7501760568550578,0.74,0.0004,6.470833333333334e-05
39.0,975.0,1.6739089488983154,0.74,0.7400084964286522,0.7501760568550578,0.74,0.001,6.366666666666668e-05
40.0,1000.0,1.7775039672851562,0.75,0.7489699080372205,0.7674126984126984,0.75,0.0016,6.2625e-05
41.0,1025.0,2.06645131111145,0.72,0.7167711184945736,0.7449203354297694,0.72,0.0033,6.158333333333334e-05
42.0,1050.0,2.009950876235962,0.72,0.7167711184945736,0.7449203354297694,0.72,0.0013,6.054166666666668e-05
43.0,1075.0,1.8565047979354858,0.73,0.7276635502685922,0.7470048309178745,0.73,0.0151,5.95e-05
44.0,1100.0,1.7267827987670898,0.77,0.7699020555998028,0.7829581529581531,0.77,0.0008,5.8458333333333336e-05
45.0,1125.0,1.731610894203186,0.75,0.7499778131755603,0.7628066378066377,0.75,0.0002,5.7416666666666675e-05
46.0,1150.0,1.8396687507629395,0.74,0.7414851463422804,0.7615714285714286,0.74,0.0003,5.6375e-05
47.0,1175.0,1.9008474349975586,0.73,0.7318203776899429,0.7490606060606062,0.73,0.0004,5.5333333333333334e-05
48.0,1200.0,1.8679077625274658,0.75,0.7489699080372205,0.7674126984126984,0.75,0.0002,5.4291666666666674e-05
49.0,1225.0,1.9579888582229614,0.74,0.7414851463422804,0.7615714285714286,0.74,0.0004,5.325e-05
50.0,1250.0,1.9912424087524414,0.75,0.7489699080372205,0.7674126984126984,0.75,0.0001,5.220833333333334e-05
51.0,1275.0,1.9795467853546143,0.72,0.7210624219725343,0.7412256615564887,0.72,0.0001,5.116666666666667e-05
52.0,1300.0,2.012880563735962,0.73,0.7307044917257683,0.7538045112781954,0.73,0.0002,5.0125e-05
53.0,1325.0,1.9954774379730225,0.75,0.7489699080372205,0.7674126984126984,0.75,0.0006,4.908333333333334e-05
54.0,1350.0,2.0798215866088867,0.74,0.7381684003661475,0.7597130080102217,0.74,0.0001,4.804166666666667e-05
55.0,1375.0,1.9633643627166748,0.74,0.7394277134400414,0.754997113997114,0.74,0.0007,4.7e-05
56.0,1400.0,2.064221143722534,0.72,0.7167711184945736,0.7449203354297694,0.72,0.0033,4.595833333333334e-05
57.0,1425.0,1.9243160486221313,0.74,0.7387527448397013,0.769034188034188,0.74,0.0005,4.491666666666667e-05
58.0,1450.0,1.9620519876480103,0.72,0.7167711184945736,0.7449203354297694,0.72,0.0005,4.3875e-05
59.0,1475.0,2.056323528289795,0.73,0.7285321009739615,0.7566488413547237,0.73,0.0008,4.2833333333333335e-05
60.0,1500.0,2.029325485229492,0.72,0.7176120937885644,0.7394592988710638,0.72,0.0001,4.179166666666667e-05
61.0,1525.0,1.8181315660476685,0.75,0.7496354431100504,0.7630048309178744,0.75,0.0016,4.075e-05
62.0,1550.0,1.8517653942108154,0.7,0.7050147500758182,0.7191606765327695,0.7,0.0017,3.9708333333333334e-05
63.0,1575.0,2.194493055343628,0.73,0.7284925942927023,0.7735855590949932,0.73,0.0004,3.866666666666667e-05
64.0,1600.0,2.0851869583129883,0.72,0.7157757399299762,0.7442284586790691,0.72,0.0001,3.7625e-05
65.0,1625.0,2.0632855892181396,0.73,0.727112200527339,0.752002442002442,0.73,0.0001,3.658333333333334e-05
66.0,1650.0,2.046225070953369,0.73,0.727112200527339,0.752002442002442,0.73,0.0,3.5541666666666665e-05
67.0,1675.0,1.9838263988494873,0.72,0.7178216360193832,0.7381856602290039,0.72,0.0001,3.45e-05
68.0,1700.0,1.9949592351913452,0.73,0.7287766713222446,0.7464126984126984,0.73,0.0001,3.345833333333334e-05
