loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.3216,3.96046781539917,1.2e-05,0.9899280575539569,86,,,,,,,,,
,,,0.9899280575539569,86,1.2256780862808228,14.9431,92.953,11.644,,,,,
1.2398,8.955157279968262,2.4285714285714288e-05,1.9899280575539569,172,,,,,,,,,
,,,1.9899280575539569,172,1.2066055536270142,14.8242,93.698,11.738,,,,,
1.1947,5.404120445251465,3.642857142857143e-05,2.989928057553957,258,,,,,,,,,
,,,2.989928057553957,258,1.025855302810669,14.6517,94.801,11.876,,,,,
0.7957,7.449959754943848,4.8714285714285714e-05,3.989928057553957,344,,,,,,,,,
,,,3.989928057553957,344,0.4781160056591034,14.4518,96.113,12.04,,,,,
0.4946,6.5089945793151855,4.763513513513514e-05,4.989928057553957,430,,,,,,,,,
,,,4.989928057553957,430,0.2817966639995575,14.8433,93.577,11.722,,,,,
0.3619,16.6065616607666,4.49938574938575e-05,5.989928057553957,516,,,,,,,,,
,,,5.989928057553957,516,0.2938602864742279,14.6562,94.772,11.872,,,,,
0.2734,4.160492897033691,4.2352579852579855e-05,6.989928057553957,602,,,,,,,,,
,,,6.989928057553957,602,0.22483067214488983,15.2503,91.08,11.41,,,,,
0.2286,5.582907676696777,3.9711302211302214e-05,7.989928057553957,688,,,,,,,,,
,,,7.989928057553957,688,0.1164129376411438,14.4772,95.944,12.019,,,,,
0.1688,7.4725728034973145,3.707002457002457e-05,8.989928057553957,774,,,,,,,,,
,,,8.989928057553957,774,0.08451487123966217,14.7252,94.328,11.817,,,,,
0.154,14.38180160522461,3.442874692874693e-05,9.989928057553957,860,,,,,,,,,
,,,9.989928057553957,860,0.06608171761035919,14.6802,94.617,11.853,,,,,
0.1231,8.956611633300781,3.178746928746929e-05,10.989928057553957,946,,,,,,,,,
,,,10.989928057553957,946,0.04857535660266876,14.8043,93.824,11.753,,,,,
0.1162,6.833888530731201,2.9146191646191645e-05,11.989928057553957,1032,,,,,,,,,
,,,11.989928057553957,1032,0.037122942507267,14.7303,94.295,11.812,,,,,
0.0949,10.202747344970703,2.6535626535626534e-05,12.989928057553957,1118,,,,,,,,,
,,,12.989928057553957,1118,0.03230378031730652,14.3575,96.744,12.119,,,,,
0.0653,4.406476974487305,2.3894348894348896e-05,13.989928057553957,1204,,,,,,,,,
,,,13.989928057553957,1204,0.034597691148519516,14.7411,94.227,11.804,,,,,
0.0645,2.0564684867858887,2.1253071253071255e-05,14.989928057553957,1290,,,,,,,,,
,,,14.989928057553957,1290,0.0235345009714365,14.7487,94.178,11.798,,,,,
0.0571,9.939982414245605,1.8611793611793613e-05,15.989928057553957,1376,,,,,,,,,
,,,15.989928057553957,1376,0.01811821013689041,14.6,95.137,11.918,,,,,
0.0407,0.2614421844482422,1.5970515970515972e-05,16.989928057553957,1462,,,,,,,,,
,,,16.989928057553957,1462,0.018465494737029076,14.6217,94.996,11.9,,,,,
0.0422,19.64197540283203,1.332923832923833e-05,17.989928057553957,1548,,,,,,,,,
,,,17.989928057553957,1548,0.010148072615265846,14.5593,95.403,11.951,,,,,
0.0368,0.05445806309580803,1.0687960687960689e-05,18.989928057553957,1634,,,,,,,,,
,,,18.989928057553957,1634,0.018431106582283974,14.844,93.573,11.722,,,,,
0.029,0.6727840304374695,8.046683046683047e-06,19.989928057553957,1720,,,,,,,,,
,,,19.989928057553957,1720,0.01120983436703682,14.9157,93.123,11.666,,,,,
0.024,0.8767102360725403,5.405405405405406e-06,20.989928057553957,1806,,,,,,,,,
,,,20.989928057553957,1806,0.008379851467907429,14.6046,95.107,11.914,,,,,
0.0262,0.06016713008284569,2.764127764127764e-06,21.989928057553957,1892,,,,,,,,,
,,,21.989928057553957,1892,0.009954088367521763,14.9589,92.854,11.632,,,,,
0.0186,0.14776363968849182,1.2285012285012285e-07,22.989928057553957,1978,,,,,,,,,
,,,22.989928057553957,1978,0.00882272981107235,14.6854,94.584,11.848,,,,,
,,,22.989928057553957,1978,,,,,1772.7263,18.021,1.116,3.003311655370752e+16,0.30311086168183116
