epoch,step_train,train_loss,learning_rate,step_eval,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted
1.0,53,1.3153,1.3000000000000001e-05,53,1.2779687643051147,0.39,0.22446043165467625,0.1575757575757576,0.39
2.0,106,1.2236,2.6000000000000002e-05,106,1.2682178020477295,0.39,0.2260869565217391,0.15918367346938778,0.39
3.0,159,1.1965,3.9250000000000005e-05,159,1.29638671875,0.39,0.2540715424925951,0.23342549923195083,0.39
4.0,212,1.1203,4.991e-05,212,1.2100830078125,0.5,0.416931643625192,0.46732075471698115,0.5
5.0,265,0.8129,4.9380000000000005e-05,265,1.181471586227417,0.51,0.4799813664596273,0.5291029297381384,0.51
6.0,318,0.6059,4.885e-05,318,1.0556395053863525,0.59,0.5627573320848701,0.5982754629629629,0.59
7.0,371,0.4279,4.8320000000000005e-05,371,1.2467777729034424,0.66,0.6386570537305832,0.7286790986790986,0.66
8.0,424,0.3326,4.779e-05,424,1.1952110528945923,0.66,0.6374355742296919,0.7027917007917008,0.66
9.0,477,0.2681,4.7260000000000005e-05,477,1.216915249824524,0.69,0.6600032679738562,0.7265303030303031,0.69
10.0,530,0.237,4.674e-05,530,1.4280791282653809,0.69,0.6662895950459392,0.7701987083954297,0.69
11.0,583,0.1856,4.6210000000000006e-05,583,1.4537591934204102,0.71,0.6840884521739562,0.7751923076923076,0.71
12.0,636,0.1589,4.568e-05,636,1.5344531536102295,0.63,0.6047533936651583,0.6775877192982456,0.63
13.0,689,0.1078,4.5150000000000006e-05,689,1.4938470125198364,0.71,0.6853890664508107,0.753006216006216,0.71
14.0,742,0.0943,4.462e-05,742,1.7491317987442017,0.64,0.6129980607627666,0.6854808612440192,0.64
15.0,795,0.0757,4.4090000000000006e-05,795,1.7478668689727783,0.69,0.6667973944294698,0.7354700854700856,0.69
16.0,848,0.0528,4.356e-05,848,1.7945367097854614,0.66,0.6394419381787803,0.7052929292929292,0.66
17.0,901,0.0577,4.3030000000000006e-05,901,1.702937364578247,0.69,0.6665602617426805,0.7180641025641026,0.69
18.0,954,0.0343,4.25e-05,954,2.016216516494751,0.65,0.6285863095238095,0.7000558907875981,0.65
19.0,1007,0.0431,4.1970000000000006e-05,1007,2.2621750831604004,0.66,0.6324616367003489,0.7039087809036658,0.66
20.0,1060,0.0303,4.144e-05,1060,2.1493330001831055,0.69,0.6671697348550019,0.7362444962444963,0.69
21.0,1113,0.0343,4.0910000000000006e-05,1113,2.3096649646759033,0.68,0.6584689254074526,0.7104778994590315,0.68
22.0,1166,0.0093,4.038e-05,1166,2.4036684036254883,0.67,0.6441348469212247,0.7165,0.67
23.0,1219,0.0126,3.9850000000000006e-05,1219,2.2451484203338623,0.68,0.659875971981235,0.7118235294117647,0.68
24.0,1272,0.0219,3.932e-05,1272,2.6034042835235596,0.69,0.6625603715170278,0.7447377622377622,0.69
25.0,1325,0.0102,3.8790000000000006e-05,1325,2.361276149749756,0.66,0.6391118865625347,0.6895464743589744,0.66
26.0,1378,0.0182,3.826e-05,1378,2.4915175437927246,0.7,0.6771759834368529,0.7429742479742478,0.7
27.0,1431,0.0053,3.7730000000000006e-05,1431,2.6228344440460205,0.69,0.6667998503044942,0.7299346405228758,0.69
28.0,1484,0.0058,3.72e-05,1484,2.5422418117523193,0.7,0.675591059095703,0.7377777777777778,0.7
29.0,1537,0.0054,3.6670000000000006e-05,1537,2.662579298019409,0.68,0.658644251077131,0.7244988662131518,0.68
30.0,1590,0.0109,3.614e-05,1590,2.6303505897521973,0.69,0.6662540532495612,0.728123866213152,0.69
31.0,1643,0.0014,3.5610000000000006e-05,1643,2.7484607696533203,0.69,0.6664298271032549,0.7287240143369176,0.69
32.0,1696,0.0051,3.508e-05,1696,2.8804736137390137,0.69,0.6704715809211297,0.743034188034188,0.69
33.0,1749,0.0046,3.455e-05,1749,2.990447998046875,0.7,0.675591059095703,0.7377777777777778,0.7
34.0,1802,0.0026,3.402e-05,1802,2.8979456424713135,0.69,0.6667998503044942,0.7299346405228758,0.69
35.0,1855,0.0041,3.349e-05,1855,2.6164376735687256,0.69,0.6672781954887218,0.7312929292929291,0.69
36.0,1908,0.0251,3.296e-05,1908,2.7088794708251953,0.7,0.6787198430859758,0.7476495726495727,0.7
37.0,1961,0.0035,3.243e-05,1961,3.060814142227173,0.69,0.6621986084756483,0.734428448909581,0.69
38.0,2014,0.0112,3.19e-05,2014,2.949697256088257,0.69,0.6546940613566001,0.7315454545454546,0.69
39.0,2067,0.0067,3.138e-05,2067,2.691577434539795,0.68,0.6624692359702502,0.7198297872340426,0.68
40.0,2120,0.0027,3.0850000000000004e-05,2120,2.8954100608825684,0.69,0.6664298271032549,0.7287240143369176,0.69
41.0,2173,0.002,3.0320000000000004e-05,2173,2.926894426345825,0.69,0.6671697348550019,0.7362444962444963,0.69
42.0,2226,0.0018,2.979e-05,2226,2.926267385482788,0.68,0.6602829016758467,0.7326495726495726,0.68
43.0,2279,0.0026,2.9260000000000004e-05,2279,2.803514003753662,0.68,0.6640303461356093,0.7117272727272728,0.68
44.0,2332,0.0039,2.873e-05,2332,2.7832305431365967,0.65,0.6336163601775522,0.668116631430585,0.65
45.0,2385,0.0007,2.8199999999999998e-05,2385,3.015676975250244,0.67,0.6484448899581217,0.6981607508900638,0.67
46.0,2438,0.0176,2.767e-05,2438,2.9997148513793945,0.69,0.6660448959921722,0.7299098699763593,0.69
47.0,2491,0.0012,2.7139999999999998e-05,2491,2.9604673385620117,0.68,0.657577210371328,0.7043407707910752,0.68
48.0,2544,0.0009,2.661e-05,2544,2.9043843746185303,0.68,0.657888888888889,0.7096923076923077,0.68
49.0,2597,0.0039,2.6079999999999998e-05,2597,3.0879344940185547,0.68,0.6599315078432226,0.7156037735849057,0.68
50.0,2650,0.0001,2.555e-05,2650,2.936204195022583,0.68,0.657888888888889,0.7096923076923077,0.68
51.0,2703,0.0044,2.5019999999999998e-05,2703,2.9001996517181396,0.67,0.6486957486957488,0.6978624904507257,0.67
52.0,2756,0.0005,2.449e-05,2756,3.02908992767334,0.7,0.6752201938246563,0.7187040618955512,0.7
53.0,2809,0.0047,2.396e-05,2809,2.9945387840270996,0.69,0.6668013123562996,0.7140384615384616,0.69
54.0,2862,0.0038,2.343e-05,2862,3.046279191970825,0.68,0.6570247915258058,0.7020116054158607,0.68
55.0,2915,0.0022,2.29e-05,2915,3.0878074169158936,0.69,0.6657984296781363,0.7101534526854221,0.69
56.0,2968,0.0019,2.237e-05,2968,3.2234790325164795,0.69,0.6655238095238096,0.729520202020202,0.69
57.0,3021,0.0002,2.184e-05,3021,3.044912099838257,0.69,0.6676984126984127,0.7150094043887146,0.69
58.0,3074,0.0056,2.131e-05,3074,3.0250720977783203,0.7,0.67725975519037,0.7284096846549676,0.7
59.0,3127,0.0003,2.078e-05,3127,2.949249029159546,0.68,0.6570247915258058,0.7020116054158607,0.68
60.0,3180,0.0007,2.025e-05,3180,3.282269239425659,0.69,0.6673051393051393,0.7153484848484848,0.69
61.0,3233,0.0001,1.972e-05,3233,3.1628546714782715,0.67,0.6488100400814771,0.6964063079777364,0.67
62.0,3286,0.0131,1.919e-05,3286,3.300424814224243,0.67,0.642773466833542,0.6960740740740741,0.67
63.0,3339,0.0002,1.866e-05,3339,3.137228488922119,0.68,0.6574404385410078,0.7066037735849057,0.68
64.0,3392,0.0033,1.813e-05,3392,3.0559325218200684,0.68,0.6609000371609067,0.7178461538461539,0.68
65.0,3445,0.0001,1.76e-05,3445,3.0998804569244385,0.68,0.6591918406900489,0.7122307692307693,0.68
66.0,3498,0.0002,1.707e-05,3498,3.1429991722106934,0.68,0.6574353559065367,0.7028373930217249,0.68
67.0,3551,0.0002,1.654e-05,3551,3.201221227645874,0.69,0.6668013123562996,0.7140384615384616,0.69
68.0,3604,0.0087,1.601e-05,3604,3.270906925201416,0.68,0.6574353559065367,0.7028373930217249,0.68
69.0,3657,0.0005,1.548e-05,3657,3.1146538257598877,0.69,0.668667180772444,0.7196666666666667,0.69
70.0,3710,0.0021,1.4950000000000001e-05,3710,3.182318687438965,0.69,0.670418918607598,0.725051282051282,0.69
71.0,3763,0.0058,1.4420000000000001e-05,3763,2.9905002117156982,0.69,0.6676984126984127,0.7150094043887146,0.69
72.0,3816,0.0002,1.389e-05,3816,2.8948113918304443,0.67,0.6488679902473007,0.6961280547409581,0.67
73.0,3869,0.0002,1.336e-05,3869,2.9327871799468994,0.67,0.6488679902473007,0.6961280547409581,0.67
74.0,3922,0.0013,1.283e-05,3922,2.872570276260376,0.67,0.64933833354886,0.6836060606060606,0.67
75.0,3975,0.0004,1.23e-05,3975,3.2236578464508057,0.68,0.6592762320421897,0.7140336700336701,0.68
76.0,4028,0.0004,1.177e-05,4028,3.0563771724700928,0.7,0.6778743961352657,0.7277202797202798,0.7
77.0,4081,0.0,1.124e-05,4081,3.099076509475708,0.69,0.6686576046527355,0.7208625148436468,0.69
78.0,4134,0.005,1.071e-05,4134,2.9700963497161865,0.67,0.6573144164759726,0.7041973244147157,0.67
79.0,4187,0.0006,1.018e-05,4187,3.2153027057647705,0.68,0.6599315078432226,0.7156037735849057,0.68
80.0,4240,0.0002,9.65e-06,4240,3.2492547035217285,0.69,0.668632317290772,0.7413703703703703,0.69
81.0,4293,0.0001,9.12e-06,4293,3.1189019680023193,0.69,0.6687198430859758,0.7376495726495726,0.69
82.0,4346,0.0001,8.59e-06,4346,3.038175106048584,0.65,0.6311453922161726,0.6812223747426219,0.65
83.0,4399,0.0001,8.06e-06,4399,3.2231507301330566,0.68,0.6589010025062656,0.7256283524904216,0.68
84.0,4452,0.0001,7.530000000000001e-06,4452,3.0781829357147217,0.67,0.6499065313095472,0.6997417311752286,0.67
85.0,4505,0.0003,7.000000000000001e-06,4505,3.269456148147583,0.69,0.6683321123321123,0.7171482047364401,0.69
86.0,4558,0.0002,6.47e-06,4558,3.273719549179077,0.68,0.6599315078432226,0.7156037735849057,0.68
87.0,4611,0.0001,5.940000000000001e-06,4611,3.299241304397583,0.68,0.6599315078432226,0.7156037735849057,0.68
88.0,4664,0.0001,5.410000000000001e-06,4664,3.209054470062256,0.69,0.669380519935332,0.7226153846153847,0.69
89.0,4717,0.0001,4.880000000000001e-06,4717,3.2660529613494873,0.68,0.6599315078432226,0.7156037735849057,0.68
90.0,4770,0.0002,4.35e-06,4770,3.1616687774658203,0.68,0.6599315078432226,0.7156037735849057,0.68
91.0,4823,0.0001,3.82e-06,4823,3.1757068634033203,0.68,0.6599315078432226,0.7156037735849057,0.68
92.0,4876,0.0001,3.29e-06,4876,3.2368252277374268,0.69,0.669380519935332,0.7226153846153847,0.69
93.0,4929,0.0006,2.7600000000000003e-06,4929,3.3243279457092285,0.7,0.67810520214108,0.7483389775842606,0.7
94.0,4982,0.0007,2.2300000000000002e-06,4982,3.2880144119262695,0.67,0.65030425458724,0.7086018518518519,0.67
95.0,5035,0.0001,1.7000000000000002e-06,5035,3.256190538406372,0.67,0.65030425458724,0.7086018518518519,0.67
96.0,5088,0.0026,1.17e-06,5088,3.242358446121216,0.69,0.669380519935332,0.7226153846153847,0.69
97.0,5141,0.0,6.4e-07,5141,3.2378625869750977,0.69,0.669380519935332,0.7226153846153847,0.69
98.0,5194,0.0002,1.1e-07,5194,3.2285871505737305,0.69,0.669380519935332,0.7226153846153847,0.69
98.11483253588517,5200,0.1585,5.0000000000000004e-08,5200,3.227520227432251,0.69,0.669380519935332,0.7226153846153847,0.69
