epoch,step_train,train_loss,learning_rate,step_eval,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted
1.0,80,1.2269,7.800000000000001e-05,80,1.2673437595367432,0.42,0.3249162958253867,0.342063492063492,0.42
2.0,160,0.8003,9.925641025641026e-05,160,1.0355589389801025,0.66,0.6252929292929292,0.6855,0.66
3.0,240,0.3774,9.823076923076924e-05,240,1.2001627683639526,0.59,0.5575934065934066,0.6849145299145298,0.59
4.0,320,0.2605,9.720512820512821e-05,320,1.1311908960342407,0.67,0.654974593495935,0.7184366444366443,0.67
5.0,400,0.1685,9.617948717948718e-05,400,1.350010633468628,0.73,0.7001083591331269,0.7931547619047619,0.73
6.0,480,0.1036,9.515384615384616e-05,480,1.3827979564666748,0.74,0.7128157863641735,0.7823958716336074,0.74
7.0,560,0.0672,9.414102564102564e-05,560,1.8298828601837158,0.71,0.6831915081822203,0.7547853535353535,0.71
8.0,640,0.0536,9.311538461538462e-05,640,2.159385919570923,0.68,0.657309497653051,0.7461031746031747,0.68
9.0,720,0.0475,9.208974358974359e-05,720,2.007960081100464,0.68,0.6569046178665054,0.7040769846716998,0.68
10.0,800,0.0304,9.106410256410258e-05,800,2.3939099311828613,0.71,0.6797511312217195,0.7518449687567335,0.71
11.0,880,0.03,9.003846153846154e-05,880,2.0323922634124756,0.71,0.6943451652386782,0.7334565217391303,0.71
12.0,960,0.0242,8.902564102564102e-05,960,2.720235586166382,0.69,0.6591033579423673,0.7353515151515151,0.69
13.0,1040,0.0089,8.800000000000001e-05,1040,2.252110719680786,0.72,0.6942456140350878,0.7409761904761903,0.72
14.0,1120,0.0198,8.697435897435898e-05,1120,2.1809298992156982,0.72,0.6984834746041132,0.7540964749536179,0.72
15.0,1200,0.0137,8.594871794871794e-05,1200,2.64457368850708,0.71,0.6890523419235478,0.7341958041958043,0.71
16.0,1280,0.0071,8.492307692307693e-05,1280,2.784675359725952,0.69,0.6591033579423673,0.7353515151515151,0.69
17.0,1360,0.0051,8.38974358974359e-05,1360,2.549527168273926,0.7,0.6864344417656068,0.7344176870748299,0.7
18.0,1440,0.0147,8.287179487179488e-05,1440,2.9195008277893066,0.72,0.6928337510442774,0.7536565656565657,0.72
19.0,1520,0.0048,8.184615384615385e-05,1520,2.4937386512756348,0.75,0.7396624803767662,0.7839273471626413,0.75
20.0,1600,0.0158,8.082051282051282e-05,1600,2.668783664703369,0.71,0.6892067929998964,0.729736694328321,0.71
21.0,1680,0.0126,7.97948717948718e-05,1680,2.8061113357543945,0.73,0.7019279609279608,0.7628370930399327,0.73
22.0,1760,0.003,7.876923076923077e-05,1760,3.104733467102051,0.69,0.6661648537320175,0.7127192028985506,0.69
