epoch,step_train,train_loss,learning_rate,step_eval,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted
1.0,80,1.2777,1.2343750000000002e-05,80,1.282202124595642,0.4,0.22857142857142854,0.16,0.4
2.0,160,1.1991,2.484375e-05,160,1.2772948741912842,0.39,0.2540715424925951,0.23342549923195083,0.39
3.0,240,1.155,3.7343749999999996e-05,240,1.2442480325698853,0.39,0.2592074592074592,0.2387301587301587,0.39
4.0,320,0.8334,4.96875e-05,320,1.187505841255188,0.57,0.5343193723838886,0.6263775003546602,0.57
5.0,400,0.5142,4.948548812664908e-05,400,1.1942698955535889,0.61,0.5789954212593823,0.679061224489796,0.61
6.0,480,0.3487,4.895778364116095e-05,480,1.0614631175994873,0.69,0.6681984933305688,0.7404700854700854,0.69
7.0,560,0.2482,4.843007915567282e-05,560,1.1075876951217651,0.7,0.68155090274535,0.7331753859348198,0.7
8.0,640,0.2232,4.7908970976253295e-05,640,1.1992111206054688,0.7,0.6766292134831461,0.7430187601123562,0.7
9.0,720,0.1821,4.738126649076518e-05,720,1.1508327722549438,0.67,0.6536140955946459,0.6968860028860029,0.67
10.0,800,0.1478,4.685356200527705e-05,800,1.4621882438659668,0.62,0.6004887218045113,0.6833272283272284,0.62
11.0,880,0.1132,4.6325857519788916e-05,880,1.612000584602356,0.69,0.6600945705878755,0.7293339916611806,0.69
12.0,960,0.0793,4.579815303430079e-05,960,1.6324679851531982,0.71,0.687557894736842,0.7552285902503293,0.71
13.0,1040,0.0739,4.527044854881267e-05,1040,1.5060681104660034,0.71,0.6999192896686501,0.7628219696969697,0.71
14.0,1120,0.0441,4.4742744063324544e-05,1120,1.9749642610549927,0.7,0.6687603549728788,0.738696397941681,0.7
15.0,1200,0.0509,4.421503957783641e-05,1200,1.7312639951705933,0.71,0.6898538899430742,0.757140420899855,0.71
16.0,1280,0.0212,4.368733509234829e-05,1280,1.8800647258758545,0.73,0.7137163647163648,0.7724088852324147,0.73
17.0,1360,0.0338,4.3159630606860165e-05,1360,2.056401252746582,0.72,0.697649034977933,0.7626574074074074,0.72
18.0,1440,0.0165,4.263852242744064e-05,1440,2.3399529457092285,0.7,0.680005120327701,0.7377922077922078,0.7
19.0,1520,0.0304,4.2110817941952506e-05,1520,2.185426950454712,0.73,0.7085846897802341,0.7698333333333334,0.73
20.0,1600,0.0233,4.158311345646438e-05,1600,2.4381208419799805,0.73,0.707550824953202,0.7700786163522012,0.73
21.0,1680,0.012,4.105540897097626e-05,1680,2.35518217086792,0.69,0.6669376026272579,0.7327567475611403,0.69
22.0,1760,0.0228,4.052770448548813e-05,1760,2.2495715618133545,0.74,0.7172803419541472,0.777525641025641,0.74
23.0,1840,0.0202,4e-05,1840,2.4538376331329346,0.72,0.6988718766613505,0.7573333333333333,0.72
24.0,1920,0.0117,3.947229551451187e-05,1920,2.6489040851593018,0.72,0.6934795684864334,0.7588675213675213,0.72
25.0,2000,0.0119,3.894459102902375e-05,2000,2.843595027923584,0.73,0.7080624638519376,0.7671862745098039,0.73
26.0,2080,0.015,3.8416886543535624e-05,2080,2.7574987411499023,0.7,0.6803573376977633,0.7440484848484847,0.7
