loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.359,4.048305034637451,1.24e-05,1.0,32,,,,,,,,,
,,,1.0,32,1.2962050437927246,5.5145,90.67,11.424,,,,,
1.27,6.085293292999268,2.48e-05,2.0,64,,,,,,,,,
,,,2.0,64,1.271630883216858,5.1927,96.289,12.132,,,,,
1.2567,1.8757684230804443,3.76e-05,3.0,96,,,,,,,,,
,,,3.0,96,1.2563886642456055,5.1584,96.929,12.213,,,,,
1.2399,4.60135555267334,4.997789566755085e-05,4.0,128,,,,,,,,,
,,,4.0,128,1.2539902925491333,5.1703,96.707,12.185,,,,,
1.2236,2.2531402111053467,4.927055702917772e-05,5.0,160,,,,,,,,,
,,,5.0,160,1.2078936100006104,5.3239,93.915,11.833,,,,,
1.1465,3.41243577003479,4.85632183908046e-05,6.0,192,,,,,,,,,
,,,6.0,192,1.063608169555664,5.1006,98.028,12.352,,,,,
0.9782,3.9132308959960938,4.7855879752431476e-05,7.0,224,,,,,,,,,
,,,7.0,224,0.8406127691268921,5.3061,94.231,11.873,,,,,
0.83,3.525454044342041,4.7148541114058356e-05,8.0,256,,,,,,,,,
,,,8.0,256,0.7418783903121948,5.1302,97.462,12.28,,,,,
0.6924,4.1835618019104,4.644120247568524e-05,9.0,288,,,,,,,,,
,,,9.0,288,0.5763564109802246,5.134,97.389,12.271,,,,,
0.5711,2.792480230331421,4.573386383731211e-05,10.0,320,,,,,,,,,
,,,10.0,320,0.3986769914627075,5.1782,96.558,12.166,,,,,
0.4753,3.31380558013916,4.5026525198939e-05,11.0,352,,,,,,,,,
,,,11.0,352,0.32304123044013977,5.2167,95.847,12.077,,,,,
0.4003,0.5457613468170166,4.431918656056587e-05,12.0,384,,,,,,,,,
,,,12.0,384,0.25397831201553345,5.1588,96.922,12.212,,,,,
0.3262,8.948816299438477,4.361184792219275e-05,13.0,416,,,,,,,,,
,,,13.0,416,0.19017952680587769,5.2128,95.918,12.086,,,,,
0.2662,9.767891883850098,4.290450928381963e-05,14.0,448,,,,,,,,,
,,,14.0,448,0.15870118141174316,5.1854,96.424,12.149,,,,,
0.231,1.7038363218307495,4.2197170645446507e-05,15.0,480,,,,,,,,,
,,,15.0,480,0.11966589093208313,5.2039,96.082,12.106,,,,,
0.1835,1.167417287826538,4.148983200707339e-05,16.0,512,,,,,,,,,
,,,16.0,512,0.07981930673122406,5.3843,92.863,11.701,,,,,
0.1714,4.930064678192139,4.078249336870027e-05,17.0,544,,,,,,,,,
,,,17.0,544,0.06974437832832336,5.203,96.098,12.108,,,,,
0.1288,10.489371299743652,4.007515473032715e-05,18.0,576,,,,,,,,,
,,,18.0,576,0.04127538949251175,5.2289,95.622,12.048,,,,,
0.109,8.323713302612305,3.936781609195402e-05,19.0,608,,,,,,,,,
,,,19.0,608,0.031690772622823715,5.1824,96.481,12.157,,,,,
0.08,0.26457077264785767,3.8682581786030064e-05,20.0,640,,,,,,,,,
,,,20.0,640,0.02031731978058815,5.1681,96.747,12.19,,,,,
0.084,0.9150294661521912,3.7975243147656945e-05,21.0,672,,,,,,,,,
,,,21.0,672,0.016956638544797897,5.1811,96.504,12.16,,,,,
0.0455,0.030565431341528893,3.7267904509283825e-05,22.0,704,,,,,,,,,
,,,22.0,704,0.008887316100299358,5.1834,96.461,12.154,,,,,
0.0469,1.6831567287445068,3.65605658709107e-05,23.0,736,,,,,,,,,
,,,23.0,736,0.007953223772346973,5.402,92.558,11.662,,,,,
0.0298,0.07169043272733688,3.585322723253758e-05,24.0,768,,,,,,,,,
,,,24.0,768,0.016775084659457207,5.1918,96.305,12.134,,,,,
0.0315,0.04627033323049545,3.514588859416445e-05,25.0,800,,,,,,,,,
,,,25.0,800,0.0030541077721863985,5.1826,96.477,12.156,,,,,
0.0209,0.18443720042705536,3.443854995579134e-05,26.0,832,,,,,,,,,
,,,26.0,832,0.0034807687625288963,5.1621,96.86,12.204,,,,,
0.0397,0.34435343742370605,3.3731211317418214e-05,27.0,864,,,,,,,,,
,,,27.0,864,0.0019107158295810223,5.1823,96.482,12.157,,,,,
0.0243,0.02679467760026455,3.3023872679045095e-05,28.0,896,,,,,,,,,
,,,28.0,896,0.00178226875141263,5.2226,95.739,12.063,,,,,
0.0107,0.050291575491428375,3.2316534040671975e-05,29.0,928,,,,,,,,,
,,,29.0,928,0.0038327998481690884,5.1813,96.5,12.159,,,,,
0.0148,0.010365174151957035,3.160919540229885e-05,30.0,960,,,,,,,,,
,,,30.0,960,0.0007120149093680084,5.1651,96.804,12.197,,,,,
0.006,0.009384259581565857,3.090185676392573e-05,31.0,992,,,,,,,,,
,,,31.0,992,0.0011892137117683887,5.1668,96.772,12.193,,,,,
0.0147,0.11897799372673035,3.0194518125552614e-05,32.0,1024,,,,,,,,,
,,,32.0,1024,0.00261354586109519,5.2181,95.821,12.073,,,,,
0.0124,44.67560958862305,2.948717948717949e-05,33.0,1056,,,,,,,,,
,,,33.0,1056,0.0002778999914880842,5.1803,96.519,12.161,,,,,
0.0052,0.10179916024208069,2.8779840848806368e-05,34.0,1088,,,,,,,,,
,,,34.0,1088,0.00021655464661307633,5.3294,93.82,11.821,,,,,
0.0061,0.019319970160722733,2.8072502210433245e-05,35.0,1120,,,,,,,,,
,,,35.0,1120,0.00025828240904957056,5.4059,92.492,11.654,,,,,
0.0094,0.026407063007354736,2.7365163572060126e-05,36.0,1152,,,,,,,,,
,,,36.0,1152,0.00015825343143660575,5.187,96.395,12.146,,,,,
0.0021,0.00339714833535254,2.6657824933687003e-05,37.0,1184,,,,,,,,,
,,,37.0,1184,0.0002695913426578045,5.3169,94.039,11.849,,,,,
0.0122,0.017101654782891273,2.595048629531388e-05,38.0,1216,,,,,,,,,
,,,38.0,1216,0.0011036999057978392,5.1647,96.811,12.198,,,,,
0.0109,54.73997497558594,2.5243147656940764e-05,39.0,1248,,,,,,,,,
,,,39.0,1248,0.00011994886153843254,5.1734,96.649,12.178,,,,,
0.002,0.00406461488455534,2.453580901856764e-05,40.0,1280,,,,,,,,,
,,,40.0,1280,0.00010958528582705185,5.1925,96.293,12.133,,,,,
0.0046,0.0015411723870784044,2.382847038019452e-05,41.0,1312,,,,,,,,,
,,,41.0,1312,7.203579298220575e-05,5.1898,96.343,12.139,,,,,
0.0037,0.6377042531967163,2.31211317418214e-05,42.0,1344,,,,,,,,,
,,,42.0,1344,0.00012971687829121947,5.3308,93.795,11.818,,,,,
0.0029,0.011641952209174633,2.2413793103448276e-05,43.0,1376,,,,,,,,,
,,,43.0,1376,0.000138103001518175,5.1942,96.262,12.129,,,,,
0.0009,0.11864695698022842,2.1706454465075153e-05,44.0,1408,,,,,,,,,
,,,44.0,1408,6.371331255650148e-05,5.1683,96.743,12.19,,,,,
0.0023,0.03118092566728592,2.0999115826702033e-05,45.0,1440,,,,,,,,,
,,,45.0,1440,6.136656156741083e-05,5.172,96.675,12.181,,,,,
0.0029,0.005805212073028088,2.0291777188328914e-05,46.0,1472,,,,,,,,,
,,,46.0,1472,0.00011970472405664623,5.4069,92.475,11.652,,,,,
0.0013,0.01043048407882452,1.958443854995579e-05,47.0,1504,,,,,,,,,
,,,47.0,1504,5.972623694106005e-05,5.251,95.221,11.998,,,,,
0.0009,0.16330358386039734,1.8877099911582672e-05,48.0,1536,,,,,,,,,
,,,48.0,1536,4.993939364794642e-05,5.514,90.678,11.425,,,,,
0.0006,0.0008301399648189545,1.8169761273209552e-05,49.0,1568,,,,,,,,,
,,,49.0,1568,6.97917930665426e-05,5.4486,91.766,11.563,,,,,
0.024,0.002250490477308631,1.746242263483643e-05,50.0,1600,,,,,,,,,
,,,50.0,1600,5.911040352657437e-05,5.29,94.518,11.909,,,,,
0.0007,0.006530695594847202,1.675508399646331e-05,51.0,1632,,,,,,,,,
,,,51.0,1632,3.923773692804389e-05,5.3986,92.617,11.67,,,,,
0.0012,0.00033795557101257145,1.6047745358090187e-05,52.0,1664,,,,,,,,,
,,,52.0,1664,3.960013418691233e-05,5.223,95.73,12.062,,,,,
0.0006,0.01601666398346424,1.5340406719717064e-05,53.0,1696,,,,,,,,,
,,,53.0,1696,4.411077679833397e-05,5.1748,96.622,12.174,,,,,
0.001,0.0022764657624065876,1.4633068081343945e-05,54.0,1728,,,,,,,,,
,,,54.0,1728,3.892159293172881e-05,5.1728,96.659,12.179,,,,,
0.0029,0.05492805317044258,1.3925729442970822e-05,55.0,1760,,,,,,,,,
,,,55.0,1760,5.013632835471071e-05,5.3586,93.308,11.757,,,,,
0.0007,0.022404920309782028,1.3218390804597702e-05,56.0,1792,,,,,,,,,
,,,56.0,1792,2.9787062885588966e-05,5.1782,96.558,12.166,,,,,
0.0017,0.868998110294342,1.251105216622458e-05,57.0,1824,,,,,,,,,
,,,57.0,1824,3.054523403989151e-05,5.206,96.042,12.101,,,,,
0.0005,0.06402105838060379,1.180371352785146e-05,58.0,1856,,,,,,,,,
,,,58.0,1856,4.1481016523903236e-05,5.1989,96.175,12.118,,,,,
0.001,0.045619893819093704,1.1096374889478337e-05,59.0,1888,,,,,,,,,
,,,59.0,1888,2.8405665943864733e-05,5.1896,96.347,12.14,,,,,
0.0028,0.004863889422267675,1.0389036251105218e-05,60.0,1920,,,,,,,,,
,,,60.0,1920,5.4936885135248303e-05,5.2395,95.429,12.024,,,,,
0.0008,0.03565361723303795,9.681697612732097e-06,61.0,1952,,,,,,,,,
,,,61.0,1952,2.802300514304079e-05,5.3312,93.787,11.817,,,,,
0.0005,0.0004807954537682235,8.974358974358976e-06,62.0,1984,,,,,,,,,
,,,62.0,1984,2.8105736419092864e-05,5.2015,96.126,12.112,,,,,
0.0053,0.00747408252209425,8.267020335985853e-06,63.0,2016,,,,,,,,,
,,,63.0,2016,0.0001480431528761983,5.1659,96.789,12.195,,,,,
0.0011,0.00033630046527832747,7.5596816976127316e-06,64.0,2048,,,,,,,,,
,,,64.0,2048,2.342724837944843e-05,5.2287,95.626,12.049,,,,,
0.0054,0.0014354895101860166,6.852343059239612e-06,65.0,2080,,,,,,,,,
,,,65.0,2080,2.6373147193226032e-05,5.2011,96.134,12.113,,,,,
0.001,0.0017835655016824603,6.14500442086649e-06,66.0,2112,,,,,,,,,
,,,66.0,2112,3.388118784641847e-05,5.247,95.292,12.007,,,,,
0.0009,0.00296258763410151,5.437665782493369e-06,67.0,2144,,,,,,,,,
,,,67.0,2144,3.3516644180053845e-05,5.1689,96.732,12.188,,,,,
0.0023,0.0850551649928093,4.730327144120248e-06,68.0,2176,,,,,,,,,
,,,68.0,2176,2.8634547561523505e-05,5.5272,90.462,11.398,,,,,
0.0004,0.0008590457146055996,4.022988505747127e-06,69.0,2208,,,,,,,,,
,,,69.0,2208,2.829384720826056e-05,5.2147,95.883,12.081,,,,,
0.0013,0.00413551228120923,3.315649867374006e-06,70.0,2240,,,,,,,,,
,,,70.0,2240,2.9782295314362273e-05,5.1867,96.4,12.146,,,,,
0.0004,0.12121818214654922,2.6083112290008844e-06,71.0,2272,,,,,,,,,
,,,71.0,2272,2.320909516129177e-05,5.1885,96.368,12.142,,,,,
0.0008,0.06164662167429924,1.9009725906277632e-06,72.0,2304,,,,,,,,,
,,,72.0,2304,2.2680043912259862e-05,5.1763,96.595,12.171,,,,,
0.0025,0.0014709264505654573,1.1936339522546418e-06,73.0,2336,,,,,,,,,
,,,73.0,2336,2.1946192646282725e-05,5.1919,96.304,12.134,,,,,
0.0003,0.061555877327919006,4.862953138815208e-07,74.0,2368,,,,,,,,,
,,,74.0,2368,2.252316517115105e-05,5.1782,96.558,12.166,,,,,
0.0007,0.008667226880788803,6.631299734748011e-08,74.608,2387,,,,,,,,,
,,,74.608,2387,2.2408723452826962e-05,5.1858,96.417,12.149,,,,,
,,,74.608,2387,,,,,2051.602,18.766,1.163,3.515612463661056e+16,0.18029493625362797
