epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,0.5242422223091125,0.4,0.22857142857142854,0.16,0.4,0.5498,1.1000000000000001e-05
2.0,50.0,0.4880683422088623,0.4,0.22857142857142854,0.16,0.4,0.5049,2.25e-05
3.0,75.0,0.5541727542877197,0.43,0.29761676919571656,0.31631336405529953,0.43,0.4849,3.5e-05
4.0,100.0,0.4178105294704437,0.48,0.40920234231449526,0.3573012173012174,0.48,0.413,4.75e-05
5.0,125.0,0.33238673210144043,0.69,0.6832704402515722,0.7025964912280702,0.69,0.315,4.958333333333334e-05
6.0,150.0,0.40846070647239685,0.65,0.6484642691773422,0.6825919573089385,0.65,0.1908,4.90625e-05
7.0,175.0,0.3869137465953827,0.68,0.670141604010025,0.6961688311688312,0.68,0.1252,4.854166666666667e-05
8.0,200.0,0.5641661286354065,0.61,0.6068756805047602,0.6090434782608696,0.61,0.0861,4.802083333333334e-05
9.0,225.0,0.4969867765903473,0.65,0.6353239534479763,0.6979953983318953,0.65,0.0691,4.75e-05
10.0,250.0,0.678978681564331,0.7,0.7022619047619049,0.7142424242424242,0.7,0.035,4.6979166666666666e-05
11.0,275.0,0.5883041620254517,0.7,0.6863333333333334,0.7212987012987013,0.7,0.065,4.6458333333333335e-05
12.0,300.0,0.5647613406181335,0.7,0.6971567099567099,0.7040909090909091,0.7,0.0198,4.59375e-05
13.0,325.0,0.5778005123138428,0.72,0.7207637821893447,0.726984126984127,0.72,0.0096,4.541666666666667e-05
14.0,350.0,0.7043070197105408,0.7,0.6911973951973952,0.723095238095238,0.7,0.0212,4.489583333333334e-05
15.0,375.0,0.849753737449646,0.61,0.6082362329987865,0.626606334841629,0.61,0.0196,4.4375e-05
16.0,400.0,0.7545831203460693,0.67,0.674136921656993,0.7017793317793318,0.67,0.0113,4.385416666666667e-05
17.0,425.0,1.0598821640014648,0.62,0.6126386346300534,0.6776215538847119,0.62,0.0154,4.3333333333333334e-05
18.0,450.0,0.7940592765808105,0.65,0.640689107627866,0.6955261857707511,0.65,0.0311,4.28125e-05
19.0,475.0,0.7047309875488281,0.74,0.7380654169360052,0.7685375816993464,0.74,0.0067,4.229166666666667e-05
20.0,500.0,0.7429599165916443,0.7,0.7012117647058822,0.7080050505050505,0.7,0.0022,4.177083333333334e-05
21.0,525.0,0.7852853536605835,0.71,0.7044015275504638,0.7164145658263306,0.71,0.0018,4.125e-05
22.0,550.0,0.8372561931610107,0.67,0.664093567251462,0.6898291182501708,0.67,0.0119,4.072916666666667e-05
23.0,575.0,0.8694577217102051,0.68,0.6671456310679612,0.7373412698412697,0.68,0.0025,4.020833333333334e-05
24.0,600.0,0.8568183183670044,0.67,0.6703810384913459,0.6740200668896321,0.67,0.0052,3.96875e-05
25.0,625.0,0.8185766339302063,0.72,0.7197193438342709,0.7551176470588236,0.72,0.001,3.9166666666666665e-05
26.0,650.0,0.9294019937515259,0.65,0.6453515314390394,0.6632070517629407,0.65,0.0013,3.8645833333333335e-05
27.0,675.0,0.9131214618682861,0.68,0.6597151437151437,0.7390610047846891,0.68,0.0077,3.8125e-05
28.0,700.0,0.8622348308563232,0.71,0.6986810103886516,0.7351339809971175,0.71,0.0014,3.760416666666667e-05
29.0,725.0,0.9128984212875366,0.72,0.7148753546696881,0.7415169144580909,0.72,0.0029,3.708333333333334e-05
30.0,750.0,1.0584503412246704,0.66,0.657731727989916,0.6803401360544217,0.66,0.008,3.65625e-05
31.0,775.0,1.0007003545761108,0.68,0.6732282564944887,0.6954842767295598,0.68,0.0012,3.604166666666667e-05
32.0,800.0,1.1181190013885498,0.66,0.6478796992481203,0.6759928229665071,0.66,0.0033,3.5520833333333334e-05
33.0,825.0,1.0921084880828857,0.63,0.6307014539092204,0.6434940711462451,0.63,0.0037,3.5e-05
