epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,0.7996872663497925,0.39,0.24195937873357226,0.212,0.39,0.8484,1.2e-05
2.0,50.0,0.7971798777580261,0.4,0.22857142857142854,0.16,0.4,0.8407,2.45e-05
3.0,75.0,0.7996842265129089,0.4,0.22857142857142854,0.16,0.4,0.8406,3.7e-05
4.0,100.0,0.7987884283065796,0.4,0.22857142857142854,0.16,0.4,0.8393,4.9500000000000004e-05
5.0,125.0,0.8003917932510376,0.32,0.2371662320396789,0.35608333333333336,0.32,0.8348,4.9500000000000004e-05
6.0,150.0,0.77852463722229,0.45,0.4225,0.4102597402597402,0.45,0.8274,4.8979166666666674e-05
7.0,175.0,0.7561891078948975,0.41,0.38274686809137803,0.39221282593375617,0.41,0.7985,4.845833333333334e-05
8.0,200.0,0.7018136382102966,0.55,0.5180471380471381,0.5074884467265725,0.55,0.7741,4.79375e-05
9.0,225.0,0.6836695671081543,0.54,0.5117358101135191,0.4988444444444445,0.54,0.7423,4.74375e-05
10.0,250.0,0.6729148626327515,0.55,0.5236710772104608,0.5147813892097014,0.55,0.7178,4.691666666666667e-05
11.0,275.0,0.6544832587242126,0.62,0.5820000000000001,0.5633660130718954,0.62,0.7009,4.6395833333333334e-05
12.0,300.0,0.6453655958175659,0.62,0.5750554323725056,0.5700677966101695,0.62,0.685,4.5875000000000004e-05
13.0,325.0,0.6376900672912598,0.62,0.5860680987671186,0.5625850340136054,0.62,0.6738,4.535416666666667e-05
14.0,350.0,0.6494758725166321,0.61,0.5759688311688312,0.5736015325670498,0.61,0.663,4.483333333333333e-05
15.0,375.0,0.6389051675796509,0.6,0.5708258955756216,0.5527277591973244,0.6,0.6679,4.43125e-05
16.0,400.0,0.6360421180725098,0.58,0.5602102607232969,0.5432440476190475,0.58,0.6676,4.379166666666667e-05
17.0,425.0,0.6228344440460205,0.65,0.6336717772086604,0.6432721088435374,0.65,0.6512,4.327083333333333e-05
18.0,450.0,0.623887300491333,0.62,0.6072252747252747,0.6099144385026739,0.62,0.6359,4.275e-05
19.0,475.0,0.6178447604179382,0.64,0.6252315394242803,0.6273904761904763,0.64,0.6373,4.222916666666667e-05
20.0,500.0,0.6172935366630554,0.59,0.5851929558476576,0.5932028985507247,0.59,0.637,4.1708333333333335e-05
21.0,525.0,0.6101959943771362,0.62,0.6154438106381941,0.6213407915925078,0.62,0.6042,4.11875e-05
22.0,550.0,0.6149899959564209,0.62,0.6121777777777777,0.6204598997493734,0.62,0.6176,4.066666666666667e-05
23.0,575.0,0.605388343334198,0.64,0.6367662425471756,0.6490070921985815,0.64,0.5945,4.014583333333333e-05
24.0,600.0,0.6047733426094055,0.65,0.6409967063194371,0.6604273029966704,0.65,0.5993,3.9625e-05
25.0,625.0,0.6007301211357117,0.65,0.6460973069483709,0.6563809523809525,0.65,0.591,3.910416666666667e-05
26.0,650.0,0.5952678918838501,0.67,0.6609800413904381,0.6760761904761905,0.67,0.5938,3.8583333333333334e-05
27.0,675.0,0.610087513923645,0.63,0.6162161601294317,0.6370211578702627,0.63,0.598,3.8062500000000004e-05
28.0,700.0,0.5896275043487549,0.67,0.6691809523809523,0.6726515151515153,0.67,0.5989,3.754166666666667e-05
29.0,725.0,0.5951237678527832,0.63,0.6227199191102123,0.6225652173913043,0.63,0.5984,3.702083333333333e-05
30.0,750.0,0.5991253852844238,0.62,0.6104517221908526,0.6113333333333334,0.62,0.5982,3.65e-05
31.0,775.0,0.5911634564399719,0.66,0.656288751744278,0.6607975683890577,0.66,0.602,3.597916666666667e-05
32.0,800.0,0.586691677570343,0.68,0.6751693404634581,0.6841964912280701,0.68,0.5931,3.545833333333333e-05
33.0,825.0,0.5814450979232788,0.68,0.6750692611928493,0.6752225672877846,0.68,0.5836,3.49375e-05
34.0,850.0,0.588429868221283,0.67,0.6656436487638533,0.6727428571428571,0.67,0.5817,3.441666666666667e-05
35.0,875.0,0.5921123623847961,0.67,0.662569756105368,0.6631285944329423,0.67,0.599,3.3895833333333335e-05
36.0,900.0,0.5940725803375244,0.65,0.6494829268292682,0.6498809523809524,0.65,0.5904,3.3375e-05
37.0,925.0,0.5885363221168518,0.66,0.6569651987464951,0.6611180124223601,0.66,0.591,3.285416666666667e-05
38.0,950.0,0.5878839492797852,0.67,0.666552380952381,0.6668181818181819,0.67,0.5788,3.233333333333333e-05
39.0,975.0,0.5841176509857178,0.67,0.6646764705882353,0.6637950937950938,0.67,0.5883,3.18125e-05
40.0,1000.0,0.5845944881439209,0.66,0.6563894523326571,0.6657586661689685,0.66,0.5877,3.129166666666667e-05
41.0,1025.0,0.5893837809562683,0.69,0.6852128021790943,0.6995238095238094,0.69,0.5888,3.0770833333333334e-05
