epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,0.5361067056655884,0.4,0.22857142857142854,0.16,0.4,0.6361,1.2e-05
2.0,50.0,0.4965185523033142,0.4,0.22857142857142854,0.16,0.4,0.5132,2.35e-05
3.0,75.0,0.4885212779045105,0.4,0.22857142857142854,0.16,0.4,0.5036,3.6e-05
4.0,100.0,0.39317405223846436,0.48,0.3637463414634146,0.33952941176470586,0.48,0.4302,4.85e-05
5.0,125.0,0.44358891248703003,0.43,0.40617605831230724,0.4098424785367674,0.43,0.3239,4.942105263157895e-05
6.0,150.0,0.38676750659942627,0.59,0.5722277888121424,0.5632425545469024,0.59,0.2245,4.876315789473684e-05
7.0,175.0,0.4784899055957794,0.54,0.5327118671108217,0.57,0.54,0.142,4.8105263157894735e-05
8.0,200.0,0.45005539059638977,0.61,0.6032719427141084,0.6275933048433048,0.61,0.1049,4.744736842105263e-05
9.0,225.0,0.7060552835464478,0.55,0.5029105999290286,0.5489253731343283,0.55,0.0594,4.678947368421053e-05
10.0,250.0,0.7486844062805176,0.55,0.5443728555089592,0.5566554621848739,0.55,0.0332,4.613157894736843e-05
11.0,275.0,0.6359727382659912,0.6,0.5925474600283345,0.6304998416217928,0.6,0.0269,4.547368421052632e-05
12.0,300.0,0.8269352912902832,0.53,0.473171845574388,0.5584848484848485,0.53,0.019,4.481578947368421e-05
13.0,325.0,0.7893611192703247,0.54,0.5185659801678109,0.5379652605459057,0.54,0.0145,4.415789473684211e-05
14.0,350.0,0.8365829586982727,0.59,0.5672380952380952,0.6049275362318841,0.59,0.0139,4.35e-05
15.0,375.0,0.8812687397003174,0.6,0.5896078431372549,0.6088511530398324,0.6,0.0048,4.284210526315789e-05
16.0,400.0,0.9122273325920105,0.57,0.5556701030927834,0.5820547292143402,0.57,0.0035,4.218421052631579e-05
17.0,425.0,0.9331303238868713,0.57,0.5556701030927834,0.5820547292143402,0.57,0.003,4.152631578947369e-05
18.0,450.0,0.9572860598564148,0.57,0.5556701030927834,0.5820547292143402,0.57,0.0027,4.0868421052631585e-05
19.0,475.0,0.9660456776618958,0.57,0.5553619047619048,0.5793452380952381,0.57,0.0024,4.021052631578948e-05
20.0,500.0,0.9981245398521423,0.57,0.5553619047619048,0.5793452380952381,0.57,0.0022,3.955263157894737e-05
21.0,525.0,1.0114482641220093,0.56,0.5427335177269298,0.5678771929824562,0.56,0.002,3.8894736842105266e-05
22.0,550.0,1.0202118158340454,0.57,0.5553619047619048,0.5793452380952381,0.57,0.0019,3.823684210526316e-05
23.0,575.0,1.0256626605987549,0.57,0.5553619047619048,0.5793452380952381,0.57,0.0017,3.7578947368421055e-05
24.0,600.0,1.028700828552246,0.58,0.5572508591065293,0.584561403508772,0.58,0.0016,3.692105263157895e-05
25.0,625.0,1.041174054145813,0.57,0.5474989995998399,0.5766896551724138,0.57,0.0015,3.6263157894736844e-05
26.0,650.0,1.0522743463516235,0.57,0.5508244897959184,0.580927750410509,0.57,0.0014,3.5605263157894736e-05
27.0,675.0,1.0602869987487793,0.57,0.5508244897959184,0.580927750410509,0.57,0.0014,3.4947368421052634e-05
28.0,700.0,1.0690999031066895,0.57,0.5508244897959184,0.580927750410509,0.57,0.0013,3.4289473684210525e-05
29.0,725.0,1.0761802196502686,0.57,0.5508244897959184,0.580927750410509,0.57,0.0012,3.363157894736842e-05
30.0,750.0,1.0839507579803467,0.57,0.5474989995998399,0.5766896551724138,0.57,0.0012,3.297368421052632e-05
31.0,775.0,1.0934576988220215,0.57,0.5474989995998399,0.5766896551724138,0.57,0.0011,3.231578947368421e-05
32.0,800.0,1.1029897928237915,0.57,0.5474989995998399,0.5766896551724138,0.57,0.0011,3.165789473684211e-05
33.0,825.0,1.109653115272522,0.57,0.5474989995998399,0.5766896551724138,0.57,0.001,3.1e-05
34.0,850.0,1.1159491539001465,0.57,0.5474989995998399,0.5766896551724138,0.57,0.001,3.0342105263157893e-05
35.0,875.0,1.1232848167419434,0.57,0.5474989995998399,0.5766896551724138,0.57,0.0009,2.968421052631579e-05
36.0,900.0,1.127903699874878,0.57,0.5474989995998399,0.5766896551724138,0.57,0.0009,2.9026315789473685e-05
37.0,925.0,1.1342782974243164,0.57,0.5474989995998399,0.5766896551724138,0.57,0.0009,2.8368421052631583e-05
38.0,950.0,1.1392985582351685,0.57,0.5474989995998399,0.5766896551724138,0.57,0.0009,2.7710526315789474e-05
39.0,975.0,1.1442614793777466,0.58,0.5572508591065293,0.584561403508772,0.58,0.0008,2.705263157894737e-05
40.0,1000.0,1.149064540863037,0.58,0.5572508591065293,0.584561403508772,0.58,0.0008,2.6394736842105267e-05
41.0,1025.0,1.1539710760116577,0.58,0.5572508591065293,0.584561403508772,0.58,0.0008,2.5736842105263158e-05
42.0,1050.0,1.1587523221969604,0.58,0.5572508591065293,0.584561403508772,0.58,0.0008,2.5078947368421053e-05
43.0,1075.0,1.1624161005020142,0.58,0.5572508591065293,0.584561403508772,0.58,0.0007,2.4421052631578948e-05
44.0,1100.0,1.1653692722320557,0.58,0.5572508591065293,0.584561403508772,0.58,0.0007,2.3763157894736842e-05
45.0,1125.0,1.1702418327331543,0.58,0.5572508591065293,0.584561403508772,0.58,0.0007,2.3105263157894737e-05
46.0,1150.0,1.1716123819351196,0.58,0.5572508591065293,0.584561403508772,0.58,0.0007,2.2447368421052635e-05
47.0,1175.0,1.1757105588912964,0.58,0.5572508591065293,0.584561403508772,0.58,0.0007,2.1789473684210526e-05
48.0,1200.0,1.1778508424758911,0.57,0.5493333333333333,0.5714285714285715,0.57,0.0007,2.113157894736842e-05
49.0,1225.0,1.1819957494735718,0.58,0.5572508591065293,0.584561403508772,0.58,0.0006,2.047368421052632e-05
50.0,1250.0,1.1863148212432861,0.58,0.5572508591065293,0.584561403508772,0.58,0.0006,1.9815789473684213e-05
51.0,1275.0,1.1906112432479858,0.58,0.5572508591065293,0.584561403508772,0.58,0.0006,1.9157894736842104e-05
52.0,1300.0,1.1951210498809814,0.58,0.5572508591065293,0.584561403508772,0.58,0.0006,1.85e-05
53.0,1325.0,1.1982033252716064,0.58,0.5572508591065293,0.584561403508772,0.58,0.0006,1.7842105263157897e-05
54.0,1350.0,1.2014167308807373,0.58,0.5572508591065293,0.584561403508772,0.58,0.0006,1.718421052631579e-05
55.0,1375.0,1.204378366470337,0.58,0.5572508591065293,0.584561403508772,0.58,0.0006,1.6526315789473683e-05
56.0,1400.0,1.1839441061019897,0.58,0.5737375719518576,0.588043865767651,0.58,0.0015,1.586842105263158e-05
57.0,1425.0,1.3125982284545898,0.54,0.4734731519870563,0.4969166666666666,0.54,0.0049,1.5236842105263157e-05
