epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,0.8103259801864624,0.4,0.22857142857142854,0.16,0.4,0.8538,1.2e-05
2.0,50.0,0.7980147004127502,0.4,0.22857142857142854,0.16,0.4,0.8419,2.45e-05
3.0,75.0,0.738536536693573,0.5,0.4630452961672474,0.46179653679653676,0.5,0.8216,3.7e-05
4.0,100.0,0.7439013719558716,0.5,0.3944876114697087,0.5874683544303798,0.5,0.7856,4.9500000000000004e-05
5.0,125.0,0.7245849370956421,0.55,0.4657714285714286,0.5525,0.55,0.7382,4.936842105263158e-05
6.0,150.0,0.6837923526763916,0.49,0.4585339885339886,0.4753205128205128,0.49,0.7,4.871052631578948e-05
7.0,175.0,0.6303055882453918,0.62,0.5935025146422206,0.580354480796586,0.62,0.666,4.807894736842106e-05
8.0,200.0,0.689606249332428,0.54,0.500454076367389,0.5197849462365591,0.54,0.6449,4.742105263157895e-05
9.0,225.0,0.7205775380134583,0.54,0.4926315789473684,0.5545945945945946,0.54,0.6604,4.676315789473684e-05
10.0,250.0,0.6544126272201538,0.58,0.5564820233410689,0.5371407407407407,0.58,0.6497,4.610526315789474e-05
11.0,275.0,0.6953261494636536,0.52,0.4878163108028468,0.47657372039724977,0.52,0.6339,4.544736842105263e-05
12.0,300.0,0.6616156101226807,0.6,0.5679061883457915,0.5710233918128655,0.6,0.6576,4.478947368421053e-05
13.0,325.0,0.678548276424408,0.56,0.5300047281323877,0.5305263157894737,0.56,0.6417,4.413157894736842e-05
14.0,350.0,0.6940988302230835,0.55,0.48822313849138976,0.4854545454545454,0.55,0.6228,4.347368421052632e-05
15.0,375.0,0.6927070617675781,0.55,0.5283022602298507,0.5297167755991284,0.55,0.6235,4.281578947368422e-05
16.0,400.0,0.6801525354385376,0.57,0.5252901618929017,0.6074937828129318,0.57,0.643,4.215789473684211e-05
17.0,425.0,0.6485363245010376,0.6,0.5937268398268397,0.5953030303030303,0.6,0.624,4.15e-05
18.0,450.0,0.6326640844345093,0.59,0.5789419470260095,0.5871609237536657,0.59,0.6193,4.08421052631579e-05
19.0,475.0,0.6795109510421753,0.54,0.5438415854560433,0.603430989931391,0.54,0.6112,4.018421052631579e-05
20.0,500.0,0.6815988421440125,0.56,0.5500607652039252,0.5687224080267559,0.56,0.6129,3.9526315789473686e-05
21.0,525.0,0.653679609298706,0.57,0.5747008253058409,0.5805584045584046,0.57,0.5904,3.8868421052631584e-05
22.0,550.0,0.6785774230957031,0.57,0.5680321583178727,0.5808181724740468,0.57,0.6194,3.8210526315789476e-05
23.0,575.0,0.6816879510879517,0.56,0.5601130873956961,0.5719696969696971,0.56,0.5939,3.7552631578947374e-05
24.0,600.0,0.6728312969207764,0.55,0.5620956265829005,0.5994173669467788,0.55,0.5894,3.6894736842105265e-05
25.0,625.0,0.6659840941429138,0.59,0.5801904761904761,0.5980694070080862,0.59,0.5892,3.6236842105263156e-05
26.0,650.0,0.6625869274139404,0.55,0.5184138812007665,0.5446825396825397,0.55,0.5886,3.5578947368421054e-05
27.0,675.0,0.6753477454185486,0.57,0.556078431372549,0.5687289308176101,0.57,0.5952,3.492105263157895e-05
28.0,700.0,0.6675981879234314,0.56,0.5533072105246594,0.5670124716553289,0.56,0.5964,3.426315789473684e-05
29.0,725.0,0.6964095830917358,0.5,0.5141716301335348,0.5394926934327897,0.5,0.6016,3.360526315789474e-05
30.0,750.0,0.71514493227005,0.51,0.4692420677361854,0.514126984126984,0.51,0.5897,3.294736842105263e-05
31.0,775.0,0.7019291520118713,0.53,0.512531139587618,0.5305939290416711,0.53,0.5917,3.228947368421053e-05
32.0,800.0,0.6788541674613953,0.54,0.557004327519686,0.5863641456582633,0.54,0.5886,3.163157894736842e-05
33.0,825.0,0.7190186977386475,0.48,0.4750213045381585,0.5548526077097505,0.48,0.5828,3.097368421052631e-05
34.0,850.0,0.6646398305892944,0.57,0.5591331311088642,0.5690675500969619,0.57,0.5871,3.0315789473684214e-05
35.0,875.0,0.6329371929168701,0.61,0.5875503806538289,0.5974269920734251,0.61,0.5762,2.9657894736842106e-05
36.0,900.0,0.6328834295272827,0.6,0.5868826135105204,0.5910830204422194,0.6,0.5788,2.9e-05
37.0,925.0,0.6304600238800049,0.6,0.5900055370985604,0.599340579710145,0.6,0.5867,2.8342105263157898e-05
38.0,950.0,0.6303462386131287,0.6,0.5900055370985604,0.599340579710145,0.6,0.5755,2.768421052631579e-05
39.0,975.0,0.6309399604797363,0.6,0.5900055370985604,0.599340579710145,0.6,0.5838,2.7026315789473684e-05
