epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,13.0,1.3813467025756836,0.25,0.10400000000000001,0.06565656565656566,0.25,1.3465,6e-06
2.0,26.0,1.3176743984222412,0.41,0.24947508659738876,0.42161616161616167,0.41,1.307,1.25e-05
3.0,39.0,1.2681584358215332,0.4,0.22857142857142854,0.16,0.4,1.2405,1.9e-05
4.0,52.0,1.2362666130065918,0.4,0.27012477718360073,0.25836956521739135,0.4,1.2053,2.5500000000000003e-05
5.0,65.0,1.0850224494934082,0.53,0.5017050197550544,0.48460171165240284,0.53,1.121,3.2000000000000005e-05
6.0,78.0,0.9301289319992065,0.61,0.5677185699068636,0.5588195937873357,0.61,0.8737,3.85e-05
7.0,91.0,0.9864768385887146,0.62,0.584223188405797,0.5706666666666668,0.62,0.4975,4.5e-05
8.0,104.0,1.1199517250061035,0.62,0.5982341518130991,0.6446078431372548,0.62,0.249,4.986363636363637e-05
9.0,117.0,1.3692686557769775,0.61,0.592620320855615,0.6751111111111111,0.61,0.1521,4.9272727272727276e-05
10.0,130.0,1.8283135890960693,0.59,0.5756190476190476,0.6639682539682539,0.59,0.1288,4.8681818181818185e-05
11.0,143.0,1.809512734413147,0.64,0.5793972180310356,0.6996803278688525,0.64,0.2034,4.8090909090909094e-05
12.0,156.0,1.3478392362594604,0.66,0.6462826420890937,0.6926037735849055,0.66,0.0695,4.75e-05
13.0,169.0,1.7363804578781128,0.65,0.6357142857142857,0.6579545454545455,0.65,0.0301,4.690909090909091e-05
14.0,182.0,2.159548759460449,0.61,0.5826378066378066,0.626454802259887,0.61,0.0128,4.631818181818182e-05
15.0,195.0,2.2810606956481934,0.71,0.7064564390665515,0.7189904143475573,0.71,0.008,4.572727272727273e-05
16.0,208.0,2.811039924621582,0.68,0.6691397849462365,0.7066037735849057,0.68,0.0823,4.513636363636364e-05
17.0,221.0,3.2531609535217285,0.69,0.6728257787325456,0.7226724137931037,0.69,0.0837,4.454545454545455e-05
18.0,234.0,3.4690613746643066,0.69,0.6613069679849342,0.6960259740259741,0.69,0.0475,4.3954545454545456e-05
19.0,247.0,4.274595737457275,0.67,0.6495007261227941,0.6872657582807135,0.67,0.0246,4.3363636363636365e-05
20.0,260.0,4.298825263977051,0.67,0.6565384615384616,0.6925142857142856,0.67,0.0361,4.2772727272727274e-05
21.0,273.0,4.543331146240234,0.71,0.7043059207905012,0.7111008039579468,0.71,0.0,4.218181818181818e-05
22.0,286.0,4.838529109954834,0.68,0.6710898180410376,0.6747936507936508,0.68,0.0596,4.159090909090909e-05
23.0,299.0,5.9257917404174805,0.64,0.6168945465975169,0.6708155737704918,0.64,0.0365,4.1e-05
24.0,312.0,5.904163837432861,0.63,0.6014919537054164,0.6315516723297044,0.63,0.0062,4.0409090909090916e-05
25.0,325.0,5.495499134063721,0.66,0.644421162191571,0.6846616541353383,0.66,0.0,3.981818181818182e-05
26.0,338.0,5.50006103515625,0.68,0.6619024990453561,0.7210031347962382,0.68,0.0403,3.922727272727273e-05
27.0,351.0,5.013463973999023,0.7,0.6934201042895748,0.7222494553376906,0.7,0.0,3.8636363636363636e-05
28.0,364.0,5.809534072875977,0.67,0.6417738791423002,0.6794025974025973,0.67,0.0,3.8045454545454545e-05
29.0,377.0,6.306439399719238,0.63,0.6045506442536146,0.6609342606391787,0.63,0.0261,3.745454545454546e-05
30.0,390.0,6.294673919677734,0.63,0.5981904761904763,0.6415126436781609,0.63,0.0,3.686363636363637e-05
31.0,403.0,5.667961597442627,0.66,0.6597765243083533,0.6718048128342247,0.66,0.0055,3.627272727272727e-05
32.0,416.0,5.757893085479736,0.67,0.6271212121212121,0.682,0.67,0.0818,3.568181818181818e-05
33.0,429.0,4.986848831176758,0.68,0.673426423672948,0.6840878847162771,0.68,0.0,3.509090909090909e-05
34.0,442.0,5.462496280670166,0.67,0.6421917579812316,0.6653931015221337,0.67,0.0254,3.45e-05
35.0,455.0,4.696819305419922,0.73,0.7201162790697674,0.7277516339869281,0.73,0.0,3.3909090909090914e-05
36.0,468.0,5.006717205047607,0.71,0.6967849223946785,0.7116436781609196,0.71,0.0413,3.331818181818182e-05
37.0,481.0,4.821803092956543,0.71,0.697370212257814,0.7124478728377746,0.71,0.0,3.272727272727273e-05
38.0,494.0,5.260542392730713,0.7,0.6915553034600113,0.7041456582633053,0.7,0.0403,3.2136363636363634e-05
39.0,507.0,6.601566314697266,0.59,0.5619439509743166,0.6301587301587301,0.59,0.0391,3.154545454545454e-05
40.0,520.0,6.976301670074463,0.59,0.5532926911874281,0.6451451131028597,0.59,0.0,3.095454545454546e-05
41.0,533.0,4.971397399902344,0.71,0.7093321215125726,0.7130966265593858,0.71,0.0,3.0363636363636367e-05
42.0,546.0,6.508670806884766,0.63,0.5942119741100325,0.714563492063492,0.63,0.0499,2.9772727272727273e-05
43.0,559.0,5.349208354949951,0.69,0.6812590617498927,0.6895555555555556,0.69,0.1124,2.9181818181818182e-05
44.0,572.0,6.309652805328369,0.62,0.59024544428318,0.6665135566188198,0.62,0.025,2.859090909090909e-05
45.0,585.0,5.494657039642334,0.68,0.6836012633054033,0.6995601851851851,0.68,0.0,2.8000000000000003e-05
46.0,598.0,5.5453081130981445,0.67,0.6549341726715884,0.6948474576271186,0.67,0.0423,2.7409090909090912e-05
47.0,611.0,6.146215438842773,0.65,0.6308717948717948,0.6992032967032966,0.65,0.0,2.681818181818182e-05
48.0,624.0,5.5278778076171875,0.67,0.6538487394957982,0.7160384833050368,0.67,0.0752,2.622727272727273e-05
49.0,637.0,6.182313442230225,0.64,0.6124628312863607,0.7197608695652175,0.64,0.0,2.5636363636363635e-05
50.0,650.0,5.714603424072266,0.67,0.6708532643826761,0.674406015037594,0.67,0.054,2.5045454545454544e-05
51.0,663.0,6.055264949798584,0.65,0.6192722862340811,0.6915935672514619,0.65,0.0,2.4454545454545456e-05
52.0,676.0,5.6218976974487305,0.68,0.6537694235588972,0.7173448773448774,0.68,0.0,2.3863636363636365e-05
53.0,689.0,5.276787757873535,0.67,0.651984126984127,0.6738095238095237,0.67,0.0,2.3272727272727274e-05
54.0,702.0,5.253978252410889,0.68,0.6618212197159565,0.6864086021505377,0.68,0.0,2.2681818181818183e-05
55.0,715.0,5.196048736572266,0.68,0.6618212197159565,0.6864086021505377,0.68,0.0,2.2090909090909092e-05
56.0,728.0,5.189587593078613,0.68,0.6618212197159565,0.6864086021505377,0.68,0.0,2.15e-05
57.0,741.0,5.197473526000977,0.68,0.6618212197159565,0.6864086021505377,0.68,0.0,2.090909090909091e-05
58.0,754.0,5.194472789764404,0.68,0.6618212197159565,0.6864086021505377,0.68,0.0,2.031818181818182e-05
59.0,767.0,5.201626777648926,0.69,0.6705494505494505,0.6945098039215687,0.69,0.0,1.9727272727272728e-05
60.0,780.0,5.192453384399414,0.7,0.6919988057919092,0.7015340909090909,0.7,0.0,1.913636363636364e-05
61.0,793.0,5.158125400543213,0.71,0.7040746763738038,0.7128608221134232,0.71,0.0,1.8545454545454545e-05
62.0,806.0,5.162281036376953,0.7,0.6919988057919092,0.7015340909090909,0.7,0.0,1.7954545454545454e-05
63.0,819.0,5.167873382568359,0.7,0.6919988057919092,0.7015340909090909,0.7,0.0,1.7363636363636366e-05
64.0,832.0,5.147072792053223,0.7,0.6919988057919092,0.7015340909090909,0.7,0.0,1.6772727272727272e-05
65.0,845.0,5.128066539764404,0.71,0.7011232335757077,0.714154411764706,0.71,0.0,1.618181818181818e-05
66.0,858.0,5.164883613586426,0.7,0.6916920207495483,0.704894535654374,0.7,0.0,1.5590909090909093e-05
67.0,871.0,5.194046497344971,0.7,0.6836543606206527,0.7019047619047619,0.7,0.0,1.5e-05
68.0,884.0,5.172056674957275,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.4409090909090911e-05
69.0,897.0,5.181011199951172,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.3818181818181818e-05
70.0,910.0,5.1813578605651855,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.3227272727272727e-05
71.0,923.0,5.177639007568359,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.2636363636363638e-05
72.0,936.0,5.171833038330078,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.2045454545454547e-05
73.0,949.0,5.169512748718262,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.1454545454545455e-05
74.0,962.0,5.168272018432617,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.0863636363636364e-05
75.0,975.0,5.167693614959717,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.0272727272727273e-05
76.0,988.0,5.169379234313965,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,9.681818181818182e-06
77.0,1001.0,5.1685380935668945,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,9.090909090909091e-06
78.0,1014.0,5.168280601501465,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,8.500000000000002e-06
79.0,1027.0,5.168021202087402,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,7.909090909090909e-06
80.0,1040.0,5.166850566864014,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,7.3181818181818186e-06
81.0,1053.0,5.1612019538879395,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,6.727272727272728e-06
82.0,1066.0,5.157742500305176,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,6.136363636363636e-06
83.0,1079.0,5.1548614501953125,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,5.545454545454546e-06
84.0,1092.0,5.152065277099609,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,4.954545454545455e-06
85.0,1105.0,5.150110244750977,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,4.363636363636364e-06
86.0,1118.0,5.149393081665039,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,3.772727272727273e-06
87.0,1131.0,5.149223804473877,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,3.1818181818181817e-06
88.0,1144.0,5.148596286773682,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,2.590909090909091e-06
89.0,1157.0,5.148350238800049,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,2.0000000000000003e-06
90.0,1170.0,5.148235321044922,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,1.4090909090909092e-06
91.0,1183.0,5.148090362548828,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,8.181818181818183e-07
92.0,1196.0,5.147979259490967,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,2.2727272727272726e-07
92.32,1200.0,5.147974014282227,0.71,0.6923809523809523,0.7184761904761904,0.71,0.0,4.545454545454546e-08
