epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,0.6656646132469177,0.4,0.22857142857142854,0.16,0.4,0.6936,1.2e-05
2.0,50.0,0.6267304420471191,0.4,0.22857142857142854,0.16,0.4,0.6376,2.45e-05
3.0,75.0,0.5827440023422241,0.45,0.31889483065953655,0.33641304347826084,0.45,0.6159,3.7e-05
4.0,100.0,0.546034038066864,0.52,0.5047393186523621,0.5255083996463307,0.52,0.5319,4.9500000000000004e-05
5.0,125.0,0.6016694903373718,0.47,0.44929824561403514,0.5140888888888889,0.47,0.4969,4.9500000000000004e-05
6.0,150.0,0.545154333114624,0.52,0.4810752688172043,0.5113636363636364,0.52,0.4636,4.8979166666666674e-05
7.0,175.0,0.5815585255622864,0.62,0.6169255478426569,0.6633333333333333,0.62,0.3923,4.845833333333334e-05
8.0,200.0,0.5517088174819946,0.62,0.6185321301613345,0.6591803751803751,0.62,0.326,4.79375e-05
9.0,225.0,0.5611679553985596,0.64,0.6209752831029427,0.7173892773892773,0.64,0.326,4.741666666666667e-05
10.0,250.0,0.6650550365447998,0.58,0.5829021645021645,0.615922231054584,0.58,0.2865,4.689583333333333e-05
11.0,275.0,0.6178815364837646,0.62,0.6108986369667485,0.6656499356499357,0.62,0.2965,4.6395833333333334e-05
12.0,300.0,0.5894336104393005,0.64,0.6211597271857245,0.6799904306220096,0.64,0.2762,4.5875000000000004e-05
13.0,325.0,0.6452054381370544,0.64,0.6262904080551138,0.679060606060606,0.64,0.2766,4.535416666666667e-05
14.0,350.0,0.5773246884346008,0.66,0.6471915833154175,0.7085964912280701,0.66,0.2603,4.483333333333333e-05
15.0,375.0,0.6298969388008118,0.66,0.6537835516190402,0.666039304610733,0.66,0.2602,4.43125e-05
16.0,400.0,0.7053086757659912,0.59,0.5871471227217758,0.6119227053140097,0.59,0.2504,4.379166666666667e-05
17.0,425.0,0.6857620477676392,0.63,0.6117889773062187,0.6385,0.63,0.2493,4.327083333333333e-05
18.0,450.0,0.6677057147026062,0.66,0.6568462401795735,0.6710325430985402,0.66,0.2544,4.275e-05
19.0,475.0,0.6431823968887329,0.64,0.6267627627627628,0.7012759170653908,0.64,0.2523,4.222916666666667e-05
20.0,500.0,0.6108965873718262,0.68,0.6666839062182298,0.7075925925925926,0.68,0.2515,4.1708333333333335e-05
21.0,525.0,0.5866356492042542,0.66,0.6514521963824289,0.6740503432494279,0.66,0.2539,4.11875e-05
22.0,550.0,0.6493134498596191,0.6,0.5614502923976609,0.6472941176470589,0.6,0.2552,4.066666666666667e-05
23.0,575.0,0.6448656320571899,0.63,0.6140071446169008,0.6534093477144325,0.63,0.25,4.014583333333333e-05
24.0,600.0,0.6704956889152527,0.65,0.641687785777557,0.659170607777995,0.65,0.2496,3.9625e-05
25.0,625.0,0.6475949287414551,0.64,0.6226011181800656,0.6594004524886878,0.64,0.2488,3.910416666666667e-05
26.0,650.0,0.6297376751899719,0.65,0.6374051149795832,0.6963814904492871,0.65,0.249,3.8583333333333334e-05
27.0,675.0,0.5502544641494751,0.68,0.6712664640324215,0.695942760942761,0.68,0.2534,3.8083333333333335e-05
28.0,700.0,0.5862088203430176,0.63,0.6091148201743651,0.6773214285714285,0.63,0.2481,3.75625e-05
29.0,725.0,0.6141517162322998,0.69,0.6869370036386648,0.689011387163561,0.69,0.2483,3.704166666666667e-05
30.0,750.0,0.6298490762710571,0.67,0.6640301947292829,0.6770264279624894,0.67,0.2484,3.652083333333334e-05
31.0,775.0,0.6858125329017639,0.65,0.6413764416713934,0.6672874555227497,0.65,0.2504,3.6e-05
32.0,800.0,0.6932898163795471,0.59,0.5664493717664449,0.6391623931623932,0.59,0.248,3.547916666666667e-05
33.0,825.0,0.6806420087814331,0.66,0.6475609058129996,0.6687715770068711,0.66,0.2508,3.495833333333334e-05
34.0,850.0,0.7093290090560913,0.61,0.6012566306932504,0.6539064779064779,0.61,0.2481,3.4437500000000004e-05
35.0,875.0,0.7199653387069702,0.62,0.5969699346405228,0.6948772666961521,0.62,0.2531,3.391666666666667e-05
36.0,900.0,0.6975558400154114,0.63,0.6201256154635767,0.6720383141762452,0.63,0.2514,3.3395833333333336e-05
37.0,925.0,0.6283764839172363,0.66,0.6453709184871975,0.7052025740958942,0.66,0.2502,3.2875e-05
38.0,950.0,0.6302364468574524,0.65,0.6361207031144849,0.6874012158054711,0.65,0.25,3.235416666666667e-05
39.0,975.0,0.6248972415924072,0.68,0.6713654161930023,0.6938404255319149,0.68,0.2477,3.183333333333334e-05
40.0,1000.0,0.580218493938446,0.7,0.689849645390071,0.7154166666666666,0.7,0.2483,3.13125e-05
41.0,1025.0,0.5846351981163025,0.69,0.678283621140764,0.7085667701863353,0.69,0.2479,3.079166666666667e-05
42.0,1050.0,0.5755957961082458,0.72,0.7107686942213798,0.7287897435897436,0.72,0.2477,3.027083333333334e-05
43.0,1075.0,0.6185116767883301,0.65,0.6233877233877234,0.6800677966101695,0.65,0.2481,2.975e-05
44.0,1100.0,0.6827991008758545,0.63,0.6289461842505321,0.6567857142857143,0.63,0.2507,2.9229166666666668e-05
45.0,1125.0,0.5749874711036682,0.69,0.674181060760008,0.7464848484848484,0.69,0.2512,2.8708333333333338e-05
46.0,1150.0,0.6135837435722351,0.68,0.6687254025044723,0.6965332314744078,0.68,0.2516,2.81875e-05
47.0,1175.0,0.6138088703155518,0.68,0.6685669707107021,0.6935010462683097,0.68,0.2475,2.7666666666666667e-05
48.0,1200.0,0.6241428852081299,0.66,0.6508507406571923,0.6693259958071279,0.66,0.2495,2.7145833333333337e-05
49.0,1225.0,0.6395933032035828,0.65,0.6369604368593245,0.6638601594483947,0.65,0.2481,2.6625e-05
50.0,1250.0,0.6521103382110596,0.65,0.6365408665408665,0.6577917833800186,0.65,0.2476,2.610416666666667e-05
51.0,1275.0,0.6456950902938843,0.66,0.6462424242424243,0.6664904214559386,0.66,0.2476,2.5583333333333336e-05
52.0,1300.0,0.6429113149642944,0.66,0.6465919197081987,0.6723597025016903,0.66,0.2477,2.50625e-05
53.0,1325.0,0.6418354511260986,0.65,0.6401587301587301,0.667,0.65,0.252,2.454166666666667e-05
54.0,1350.0,0.6529330611228943,0.63,0.6006666666666667,0.6644342037890425,0.63,0.2477,2.4020833333333336e-05
55.0,1375.0,0.628079354763031,0.66,0.6526116011761561,0.6770283166458073,0.66,0.2475,2.35e-05
56.0,1400.0,0.6466048955917358,0.63,0.6135496260359814,0.6507107769423558,0.63,0.2506,2.297916666666667e-05
57.0,1425.0,0.6407039761543274,0.64,0.6180350013379716,0.6821261798310978,0.64,0.2476,2.2458333333333335e-05
58.0,1450.0,0.6462969779968262,0.64,0.6173955773955774,0.6767950693374423,0.64,0.2478,2.19375e-05
59.0,1475.0,0.6438764929771423,0.64,0.6180350013379716,0.6821261798310978,0.64,0.2475,2.1416666666666668e-05
60.0,1500.0,0.6459993720054626,0.64,0.6173955773955774,0.6767950693374423,0.64,0.2475,2.0895833333333334e-05
61.0,1525.0,0.6453409790992737,0.64,0.6219931271477663,0.6656140350877193,0.64,0.2474,2.0375e-05
62.0,1550.0,0.6444775462150574,0.64,0.6219931271477663,0.6656140350877193,0.64,0.2473,1.9854166666666667e-05
63.0,1575.0,0.6407157182693481,0.64,0.6219931271477663,0.6656140350877193,0.64,0.2475,1.9333333333333333e-05
64.0,1600.0,0.6415612697601318,0.63,0.6118573805414315,0.6496140350877194,0.63,0.2474,1.88125e-05
65.0,1625.0,0.641930341720581,0.64,0.6219230769230769,0.6579999999999999,0.64,0.2473,1.829166666666667e-05
66.0,1650.0,0.6415127515792847,0.64,0.6219230769230769,0.6579999999999999,0.64,0.2474,1.7770833333333333e-05
67.0,1675.0,0.6388957500457764,0.64,0.6219230769230769,0.6579999999999999,0.64,0.2473,1.725e-05
